malicious_votes,harmless_votes,malicious_ratio,shodan_blocked,dns_record_count,total_open_ports,high_risk_country,domain_age_days,has_wildcard_dns,nameserver_count,has_mx,otx_pulse_count,urlhaus_listed,domain_age_known,label,indicator
9,50,0.1525423728813559,0,4,0,0,1630,0,2,0,1,0,1,1,0
2,52,0.037037037037037,0,7,0,0,3650,1,2,1,0,0,1,1,0
2,53,0.0363636363636363,0,5,0,0,0,1,5,1,0,0,0,1,0
18,40,0.3103448275862069,0,0,0,0,168,0,0,0,0,1,1,1,0
18,40,0.3103448275862069,0,0,0,0,48,0,0,0,1,0,1,1,0
0,56,0.0,0,3,0,0,3650,0,2,1,1,0,1,1,0
0,55,0.0,0,0,0,0,2756,0,2,0,0,0,1,1,0
16,42,0.2758620689655172,0,0,0,0,23,0,0,0,0,1,1,1,0
13,44,0.2280701754385964,0,0,0,0,138,1,2,0,0,0,1,1,0
6,52,0.1034482758620689,0,0,0,0,338,0,2,1,0,0,1,1,0
0,56,0.0,0,0,0,0,2756,0,2,0,0,0,1,1,0
2,54,0.0357142857142857,0,1,0,0,2906,0,0,0,0,0,1,1,0
4,53,0.0701754385964912,0,0,0,0,292,0,2,1,0,0,1,1,0
12,46,0.2068965517241379,0,0,0,0,757,0,0,0,0,1,1,1,0
4,53,0.0701754385964912,0,1,0,0,3650,0,2,1,0,0,1,1,0
3,50,0.0566037735849056,0,0,0,0,295,0,2,1,1,0,1,1,0
4,52,0.0714285714285714,0,4,0,0,229,0,2,1,0,0,1,1,0
4,51,0.0727272727272727,0,0,0,0,0,0,0,0,0,0,0,1,0
1,52,0.0188679245283018,0,0,0,0,0,1,0,0,0,0,0,1,0
8,47,0.1454545454545454,0,0,0,0,13,0,2,0,1,0,1,1,0
14,45,0.2372881355932203,0,3,0,0,55,1,2,0,1,1,1,1,0
3,52,0.0545454545454545,0,0,0,0,13,0,2,0,0,0,1,1,0
10,48,0.1724137931034483,0,0,0,0,371,0,0,0,1,0,1,1,0
5,49,0.0925925925925925,0,0,0,0,302,0,0,0,0,0,1,1,0
2,60,0.032258064516129,0,10,0,0,3650,1,0,0,0,1,1,1,0
2,53,0.0363636363636363,0,10,0,0,2586,0,2,1,1,1,1,1,0
1,55,0.0178571428571428,0,0,0,0,23,0,2,0,0,0,1,1,0
6,52,0.1034482758620689,0,2,0,0,3269,0,4,1,0,0,1,1,0
21,40,0.3442622950819672,0,0,0,0,360,0,0,0,0,1,1,1,0
4,53,0.0701754385964912,0,0,0,0,3650,0,4,1,0,0,1,1,0
3,53,0.0535714285714285,0,7,0,0,2507,0,3,0,0,0,1,1,0
20,39,0.3389830508474576,0,0,0,0,204,0,0,0,0,1,1,1,0
1,52,0.0188679245283018,0,0,0,0,52,0,0,0,0,0,1,1,0
2,54,0.0357142857142857,0,6,0,0,3650,0,3,1,0,0,1,1,0
6,51,0.1052631578947368,0,2,0,0,1980,0,2,1,0,0,1,1,0
10,43,0.1886792452830188,0,0,0,0,128,0,0,0,0,1,1,1,0
4,54,0.0689655172413793,0,1,0,0,0,0,3,1,0,0,0,1,0
14,47,0.2295081967213114,0,0,0,0,2756,1,0,0,0,1,1,1,0
4,51,0.0727272727272727,0,7,0,0,3650,0,5,1,0,0,1,1,0
19,41,0.3166666666666666,0,1,0,0,179,0,0,0,2,1,1,1,0
9,51,0.15,0,0,0,0,713,0,2,1,1,0,1,1,0
4,54,0.0689655172413793,0,4,0,0,1398,0,2,1,0,0,1,1,0
7,51,0.1206896551724138,0,9,0,0,2137,0,2,1,0,0,1,1,0
6,51,0.1052631578947368,0,0,0,0,3612,0,2,1,0,0,1,1,0
0,57,0.0,0,8,0,0,1290,0,2,1,16,0,1,0,amlwatcher.com
0,56,0.0,0,0,0,0,176,1,2,0,0,0,1,0,truebettingplatform.com
0,55,0.0,0,0,0,0,118,0,2,0,0,0,1,0,casinozeus.ai
0,55,0.0,0,0,0,0,464,1,4,1,0,0,1,0,izgotovit-znachki-metalicheskie.ru
0,57,0.0,0,6,0,0,3650,1,4,1,0,0,1,0,d-u-v.org
0,57,0.0,0,3,0,0,0,1,2,1,0,0,0,0,cos-e-sale.de
0,54,0.0,0,0,0,0,3650,0,3,0,0,0,1,0,nndns.net
0,56,0.0,0,10,0,0,3650,0,2,1,6,0,1,0,wing.com.ua
0,55,0.0,0,0,0,0,93,0,3,1,0,0,1,0,mayaktours.rs
0,58,0.0,0,2,0,0,3650,0,2,1,2,0,1,0,wyoleg.gov
0,54,0.0,0,0,0,0,93,0,2,0,0,0,1,0,betmoa.tv
0,57,0.0,0,10,0,0,3650,0,2,0,0,0,1,0,bensimages.com
0,56,0.0,0,10,0,0,0,0,2,1,0,0,0,0,hobodataloggers.com.au
0,56,0.0,0,2,0,0,2067,0,3,1,0,0,1,0,bomprecodrogaria.com.br
0,57,0.0,0,5,0,0,3650,0,2,0,0,0,1,0,archive3d.net
0,56,0.0,0,5,0,0,3650,0,2,1,0,0,1,0,vestibulare.com.br
0,55,0.0,0,0,0,0,377,0,0,0,0,0,1,0,lewdvault.com
0,58,0.0,0,0,0,0,3650,0,4,0,1,0,1,0,narahaku.go.jp
0,54,0.0,0,0,0,0,43,0,0,0,0,0,1,0,lendirqu.wtf
0,56,0.0,0,3,0,0,0,0,2,1,0,0,0,0,fenaco.ch
0,55,0.0,0,1,0,0,1491,0,3,0,0,0,1,0,ho-ok.co.kr
1,53,0.0185185185185185,0,2,0,0,1959,0,2,1,0,0,1,0,war.app
0,53,0.0,0,0,0,0,0,0,0,0,0,0,0,0,zee7pers.de
0,57,0.0,0,4,0,0,3650,0,4,1,0,0,1,0,skyscanner.se
0,57,0.0,0,10,0,0,3364,0,2,1,0,0,1,0,pcstudio.in
3,54,0.0526315789473684,0,3,0,0,3650,0,2,1,0,0,1,0,iccnet.cm
0,56,0.0,0,3,0,0,1691,0,2,1,0,0,1,0,cherkasov.moscow
0,54,0.0,0,0,0,0,3436,0,6,0,1,0,1,0,ptnameserver.com
0,56,0.0,0,3,0,0,1238,0,4,1,0,0,1,0,runandbike.com.ar
0,56,0.0,0,0,0,0,377,0,2,0,0,0,1,0,zpq3zhkyw7c.com
0,55,0.0,0,0,0,0,62,1,2,0,0,0,1,0,topsmarttrendhub.nl
0,57,0.0,0,10,0,0,3650,0,4,1,0,0,1,0,thepacker.com
0,56,0.0,0,10,0,0,1910,0,2,1,0,0,1,0,parafrasear.org
0,57,0.0,0,3,0,0,3650,0,2,1,0,0,1,0,stadiumoutlet.no
0,58,0.0,0,3,0,0,3650,0,4,1,0,0,1,0,carandache.com
0,56,0.0,0,10,0,0,3650,0,2,1,0,0,1,0,everydaycarry.com
0,57,0.0,0,10,0,0,3650,0,2,1,0,0,1,0,hosteko.com
0,55,0.0,0,3,0,0,0,0,2,1,0,0,0,0,parfuemerie-bayerschmidt.de
0,56,0.0,0,6,0,0,3650,0,2,1,0,0,1,0,johnatkinsonbooks.co.uk
0,56,0.0,0,2,0,0,3650,0,2,1,0,0,1,0,northbkk.ac.th
0,55,0.0,0,0,0,0,428,0,2,1,0,0,1,0,itsnour.com
0,56,0.0,0,8,0,0,0,0,2,1,0,0,0,0,ansargallery.ae
0,57,0.0,0,10,0,0,3650,0,2,0,0,0,1,0,worldsalaries.com
0,57,0.0,0,3,0,0,3650,0,4,1,3,0,1,0,infinityauto.com
0,56,0.0,0,10,0,0,3650,0,2,1,0,0,1,0,visitanaheim.org
0,57,0.0,0,5,0,0,3650,0,6,1,0,0,1,0,partyrentalltd.com
0,56,0.0,0,4,0,0,3650,0,2,1,0,0,1,0,sportspyder.com
0,56,0.0,0,0,0,0,143,1,2,0,0,0,1,0,maplearenaonline.nl
1,52,0.0188679245283018,0,0,0,0,114,1,2,0,0,0,1,0,biwomo.cn
0,55,0.0,0,6,0,0,3409,0,2,1,0,0,1,0,tubepartnership.com
0,56,0.0,0,2,0,0,3650,0,0,0,0,0,1,0,hotcherry.com
0,57,0.0,0,10,0,0,3650,0,2,1,3,0,1,0,exmo.me
0,55,0.0,0,1,0,0,925,0,4,0,0,0,1,0,toxsales1.com
0,56,0.0,0,5,0,0,3650,0,4,1,0,0,1,0,foodmarkets.ru
0,54,0.0,0,0,0,0,272,0,0,0,0,0,1,0,javhdz.fit
0,56,0.0,0,2,0,0,1366,0,4,1,0,0,1,0,forestinkclothing.com
0,56,0.0,0,3,0,0,3650,1,5,1,0,0,1,0,enjoycycle.net
0,57,0.0,0,10,0,0,3650,0,3,1,0,0,1,0,agroterra.ru
0,54,0.0,0,10,0,0,3650,1,4,0,0,0,1,0,measurementapi.com
0,56,0.0,0,2,0,0,850,0,2,0,0,0,1,0,hispamula.org
0,57,0.0,0,8,0,0,3650,0,2,1,0,0,1,0,tradogram.com
0,53,0.0,0,10,0,0,1442,1,2,1,0,0,1,0,easyblock.net
0,57,0.0,0,4,0,0,3650,0,2,1,0,0,1,0,polymorphic.net
0,56,0.0,0,10,0,0,3583,1,4,1,0,0,1,0,drdifferent.com
0,56,0.0,0,0,0,0,407,0,4,1,0,0,1,0,shift4-global.com
0,55,0.0,0,0,0,0,0,0,6,1,0,0,0,0,tur.cu
0,57,0.0,0,5,0,0,3650,0,2,1,0,0,1,0,musicplaza.com
0,52,0.0,0,0,0,0,883,0,2,1,0,0,1,0,hn-east.com
1,52,0.0188679245283018,0,5,0,0,461,0,2,0,0,0,1,0,ultrapay.biz
0,56,0.0,0,2,0,0,2631,0,2,0,0,0,1,0,tapdb-dev.com
